"id","name","address","zipCode","city","phone","email","websiteUrl","facebookUrl","openingHours","description","latitude","longitude"
"80858758-614a-4b9e-8250-65511016609a","Alla Tiders Skivhandel","Norra Skeppargatan 13","803 20","Gävle","026 - 141800","","http://www.skivhandeln.se","","","En av Sveriges mest välsorterade skivbutik med ett sortiment på över 30 000 titlar.","60.6757294","17.1388436"
"c1227ee4-9386-4c34-8f41-8887ed638dc9","An Ideal for Living","Södermannagatan 19","116 40","Stockholm","08-642 90 03","anidealforliving@live.se","","https://www.facebook.com/pages/An-Ideal-for-Living-Stockholm-AB/152535018130835?fref=ts","Mån: 13:00 - 19:00\nOns - Fre: 13:00 - 19:00\nLör - Sön: 13:00 - 18:00","Stort utbud av vinyl i alla genrer. Nytt och begagnat.","59.312971","18.08086"
"f51be1c7-6c6b-48b7-820d-073bd0fc542f","Andra Jazz","Rödabergsgatan 9","113 33","Stockholm","08-31 07 07","","","https://www.facebook.com/pages/Andra-Jazz/183609224998694?fref=ts","Mån-Fre: 15:00-18:00\nLör: 12:00-15:00","Sveriges bästa utbud av jazz. Välsorterat och mycket kunnig personal.","59.344035","18.035793"
"530cb4fe-1238-45da-8514-a80626106dff","Andra Långgatans Skivhandel","Andra Långgatan 33","413 27","Göteborg","031-775 01 40","","http://www.andralang.se","https://www.facebook.com/groups/177362119922/","Mån-Fre: 10:00-18:00\nLör: 10:00-16:00\nSön: Stängt","Köper, byter och säljer: Vinylskivor, CD, DVD, Bluray och grammofoner (säljer även stift). Värderingar av stora och mindre samlingar utföres. Här får du kontant betalt eller tillgodo (20% extra) för dina gamla skivor och filmer. Vinylsläpp sista eller näst sista fredagen i varje månad.","57.6988249","11.94537420000006"
"55de66f6-504a-46c5-b20e-78126b3b95c5","Antikt Och Annat","Viskastigen 54","432 67","Veddige","0340-381 72","ingel5@hotmail.com","","","Alltid öppet, nästan.","Skivbutik som har tusentals vinylskivor i lager.","57.2691634","12.3410824"
"733f57e7-ced5-43ae-9a4a-2dcd32524385","Antikt, Tryckt och Präglat","Ågatan 16","374 36","Karlshamn","0454-122 50","atp@oktv.se","http://samlaren.se/","","Vintertid (Oktober - Mars)\nMån: Stängt\nTis: Stängt\nOns: 13.00 - 17.00\nTors: 13.00 - 17.00\nFre: 13.00 - 17.00\nLör: 10.00 - 14.00\n\nSommartid (April - September)\nTis-Tor: 13.00-18.00\nFre: 13.00-17.00\nLör: 10.00-14.00","Trevlig affär med stort utbud av skivor. Lite trångt och instängt men väl värt besväret. Bra prisnivå.","56.170035","14.860533"
"9c8375b9-c287-4783-a98b-5c78ed9d7796","Antikvariat Bode Carlshamn","Ronnebygatan 15","374 35","Karlshamn","0454-178 52","abclaes@antikvariatbode.se","http://www.antikvariatbode.se/","","","Kunnig säljare med stort utbud.","56.169209","14.864381"
"12d25740-94f5-4e15-b3ad-f766cc3f500b","Armadillo Records","Stigbergsliden 16","414 63","Göteborg","031-12 85 85","","","","Mån-Fre: 11:00-18:00\nLör: 11:00-15:00\nSön: Ibland","Liten lokal med vinyl, CD, litteratur och tidningar.","57.6993024","11.936171999999942"
"fb99456b-d537-419e-be22-90061ee0fc09","Atlas CD börs","S:t Eriksgatan 78","113 20","Stockholm","08-340617","atlascdbors@gmail.com","","https://www.facebook.com/atlasrecordssthlm/","Mån-Fre: 12:00-18:00\nLör: 12:00-15:30","10000 tals vinyl och ep i alla genrer.","59.339189","18.036582"
"c01500c6-8659-4e53-a7dc-6d576f45698a","Backbeat Shop","Älvgatan 7","252 30","Helsingborg","042-12 12 44","backbeatshop@yahoo.se","http://www.youtube.com/watch?v=0Xu9Q1fZ7bo","","Tis-Fre: 13:00-19:00\nLör: 11:00-15:00","Köper och säljer vinyl.","56.0186175","12.7171404000001"
